Date,Batter,Pitch,Strike,Count,Full result,Sum result
June 22,Poteet,Fast ,F,3-2,BB,Walk
June 22,Mundy,Fast ,L,0-1,G,Out
June 22,Costes,Fast ,L,1-1,4,Hit
June 22,Hartigan,Fast ,F,1-1,1,Hit
June 22,Ellington,Fast ,F,3-1,1,Hit
June 22,Poteet,Fast ,F,1-1,FO,Out
June 22,Hartigan,Fast ,L,3-1,BB,Walk
June 22,Poteet,Fast ,L,1-2,SOL,Strikeout
June 22,Hartigan,Fast ,F,3-2,BB,Walk
June 22,Turconi,Fast ,L,1-1,BB,Walk
June 22,Zayicek,Fast ,F,3-2,2,Hit
June 22,Poteet,Fast ,F,2-2,SOS,Strikeout
June 22,Mundy,Fast ,L,2-1,1,Hit
June 25,Blanton,Fast ,F,2-1,4,Hit
June 25,Blanton,Fast ,L,3-1,BB,Walk
June 25,Ellington,Fast ,F,3-1,BB,Walk
June 25,Poteet,Fast ,F,3-2,FO,Out
June 25,Jimenez,Fast ,L,3-2,BB,Walk
June 25,Padre,Fast ,L,3-2,SOL,Strikeout
June 25,Zayicek,Fast ,L,0-2,1,Hit
June 25,Poteet,Fast ,S,1-2,4,Hit
June 25,Hartigan,Fast ,F,2-1,1,Hit
June 25,Jimenez,Fast ,L,2-2,SOS,Strikeout
June 25,Padre,Fast ,F,0-2,SOS,Strikeout
June 25,Turconi,Fast ,F,3-2,1,Hit
June 25,Blanton,Fast ,S,1-2,SOS,Strikeout
June 25,Poteet,Fast ,L,3-2,BB,Walk
June 25,Costes,Fast ,F,3-2,G,Out
June 27,Ellington,Fast ,L,1-2,SOL,Strikeout
June 27,Cortez,Fast ,S,0-2,SOL,Strikeout
June 27,Decker,Fast ,L,3-1,BB,Walk
June 27,Ellington,Fast ,F,1-2,SOS,Strikeout
June 27,Poteet,Fast ,L,1-1,1,Hit
June 27,Hartigan,Fast ,F,1-1,FO,Out
June 27,Cortez,Fast ,F,0-2,SOS,Strikeout
June 27,Poteet,Fast ,F,3-2,BB,Walk
June 27,Decker,Fast ,F,3-1,BB,Walk
June 27,Poteet,Fast ,F,2-2,3,Hit
July 2,Hartigan,Fast ,F,1-2,2,Hit
July 2,Costes,Fast ,F,3-1,FO,Out
July 2,Reese,Fast ,L,0-2,FO,Out
July 2,Hartigan,Fast ,F,2-1,FO,Out
July 2,Costes,Fast ,L,2-1,FO,Out
July 2,Decker,Fast ,F,3-2,BB,Walk
July 2,Blanton,Fast ,L,2-2,FO,Out
July 2,Franzoni,Fast ,L,2-1,FO,Out
July 2,Blanton,Fast ,F,0-2,FO,Out
July 2,Reese,Fast ,F,0-2,1,Hit
July 2,Zayicek,Fast ,L,3-2,1,Hit
July 2,Padre,Fast ,F,3-2,1,Hit
July 2,Jimenez,Fast ,L,3-1,BB,Walk
July 2,Decker,Fast ,S,2-2,SOS,Strikeout
July 2,Ellington,Fast ,L,0-1,FO,Out
July 3,Ellington,Fast ,L,2-2,SOL,Strikeout
July 3,Costes,Fast ,S,3-1,BB,Walk
July 3,Jimenez,Fast ,F,3-1,1,Hit
July 3,Poteet,Fast ,S,2-2,1,Hit
July 3,Hartigan,Fast ,L,2-2,SOL,Strikeout
July 3,Jimenez,Fast ,F,3-1,BB,Walk
